station_id,name,lat,lon,altitude,address,post_code,capacity
215,"C/ GANDUXER, 29",41.3939378,2.1380304,65.0,"C/ GANDUXER, 29",8021,21
216,"C/ MADRAZO, 131",41.3967824,2.1445567,63.0,"C/ MADRAZO, 131",8021,27
217,"C/ RECTOR UBACH, 24",41.3985735,2.1440826,75.0,"C/ RECTOR UBACH, 24",8021,27
218,"C/ CONSELL DE CENT, 566",41.4040364,2.183145,17.0,"C/ CONSELL DE CENT, 566",8013,39
219,"C/ LAFORJA, 74-76",41.3976165,2.1471724,67.0,"C/ LAFORJA, 74-76",8021,23
220,"C/ TUSET, 19",41.3960982,2.1513154,53.0,"C/ TUSET, 19",8006,27
221,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",41.4025392,2.1524704,68.0,"GRAN DE GRÀCIA, 155 (METRO FONTANA)",8012,24
222,"C/ DEL CANÓ, 1",41.4013296,2.1574439,58.0,"C/ DEL CANÓ, 1",8012,27
223,"C/ DE BONAVISTA, 14",41.3983444,2.1598243,48.0,"C/ DE BONAVISTA, 14",8012,36
224,"C / GIRONA, 176",41.3999967,2.1644531,40.0,"C / GIRONA, 176",8037,26
225,"C/ VILADOMAT, 200",41.384810211467105,2.1508071246452154,28.0,"C/ VILADOMAT, 200",8029,25
226,"C/ MONTMANY, 1",41.4035608,2.1609345,52.0,"C/ MONTMANY, 1",8012,27
227,"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,69.0,"C/ DEL TORRENT DE LES FLORS, 102",8024,18
228,"PL. DEL NORD, 5",41.4068417,2.1558354,73.0,"PL. DEL NORD, 5",8024,21
229,"C/ DE LA SANTACREU, 2 (PL.DE LA VIRREIN",41.4050968,2.1569161,68.0,"C/ DE LA SANTACREU, 2 (PL.DE LA VIRREINA)",8024,28
230,"C/ DE NIL FABRA, 16-20",41.4059356,2.1517977,80.0,"C/ DE NIL FABRA, 16-20",8012,26
231,"C/ PAU ALSINA, 54",41.4092005,2.16400285,65.0,"C/ PAU ALSINA, 54",8025,24
232,"C/ MATA, 2",41.3732903,2.1710273,7.0,"C/ MATA, 2",8004,27
233,"C/ NOU DE LA RAMBLA, 164",41.3719688,2.1667829,21.0,"C/ NOU DE LA RAMBLA, 164",8004,27
234,"PG. DE L´EXPOSICIÓ, 38 /BLASCO GARAY",41.371532,2.162203,31.0,"PG. DE L´EXPOSICIÓ, 38 /BLASCO GARAY",8004,27
235,"AV. PARAL.LEL, 98",41.3751767,2.1658972,10.0,"AV. PARAL.LEL, 98",8015,21
236,"AV. PARAL.LEL, 194",41.3751161,2.1523091,24.0,"AV. PARAL.LEL, 194",8015,26
237,"C/ RIUS I TAULET, 4",41.3727426,2.1539198,33.0,"C/ RIUS I TAULET, 4",8004,27
238,"C/ ESPRONCEDA, 298",41.4158807,2.1908473,16.0,"C/ ESPRONCEDA, 298",8027,27
239,"C/ INDÚSTRIA, 329",41.4172922,2.1844769,31.0,"C/ INDÚSTRIA, 329",8027,35
